562112884223000576|Best|moment of sb15 sb49|0.8325655726868182
562112806552485888|Congrats to|the Pats|0.8294462782412093
562112694262562816|brave|null|0.7176687736973063
562112694262562816|DEVASTATED|null|-0.720138703656195
562112230830116866|Good|Game|0.6105463433142023
562111943419625472|helps|Interception|0.5274215517597863
562111733695647745|great job|null|0.7176687736973063
562111488178290688|like to be|ignored|0.7176687736973063
562111217851170816|happy|null|0.7923352042939829
562111101371166720|awful|half time show|-0.7242245628770796
562109954476093440|love|Seahawks|0.8053406931054015
562109954476093440|Most ridiculous|statement|-0.7869528858734458
562109760238256128|Congratulations|Patriots|0.8905136643857176
562109466716692480|will help ease|Ice cream|0.5274215517597863
562109466716692480|:)|null|0.6280145725181376
562109466716692480|Sad|null|-0.40209773927084985
562108969075109888|was looking forward to|SB49 commentary|0.8615014865506475
562108836861861890|Best|null|0.5787074952096031
562108836861861890|Worst|Super Bowl Commercials|-0.7753136443364055
562108740997222400|have ruined|carbs|-0.7923352042939829
562108641575047168|right SB49|null|0.7176687736973063
562108364159983616|Thanks|null|0.7786856817316798
562108308103106562|Thank you|SB49 for reminding|0.7786856817316798
562107507984703490|SWEET|PackersNation SB49|0.5685799620527161
562107467740356608|awesome|T-shirts sb49 sbusat pats|0.7869528858734458
562107380830588928|win for|null|0.6745392194237302
562107290719748096|:)|null|0.6280145725181376
562107161325498369|Congrats to|local kid Tom Brady|0.8294462782412093
562106916092923904|never gave up|Seahawks|0.8053406931054015
562106787139039232|worst play call in history of NFL|null|-0.9225162805171964
562106754234712064|probably pretty|Hernandez|0.5787074952096031
562106754234712064|killed|null|-0.7176687736973063
562106434049945600|Fine|null|0.43737930137555403
562106216311435264|congrats to|the @Patriots|0.8294462782412093
562105981606584321|Still puzzling|null|-0.29947674827884413
562105981606584321|s not the best choice|null|-0.8084920441678533
562105823435161601|re not good anymore Patriots SB49|null|-0.6700310482815184
562105619130613760|ready|SB49|0.42279137987234977
562105619130613760|choked in|the moment the Seahawks|-0.6280145725181376
562105551140577282|fail|null|-0.7176687736973063
562105285033361411|depressing|Super Bowl|-0.5685799620527161
562105224928964608|cheer in|our lives|0.8510865864332573
562105224928964608|depressing|Super Bowl ads and fight in the end|-0.5685799620527161
562105052215517185|my sick|bed|-0.5685799620527161
562104839594053632|like|apples|0.44365059175771526
562104716516016128|win in|A BLOWOUT|0.6745392194237302
562104541014130688|Thank God|null|0.7176687736973063
